material_id,formula,n_sites,volume,band_gap,energy_above_hull,novelty_proxy,is_nonmetal_proxy
wbm-1-6849,C2 Na2 Ni1 O6,11.0,116.82,3.5,0.026794,1,True
wbm-1-23775,Co2 Li4 O6,12.0,98.4,0.0,0.069639,0,False
wbm-1-23798,Li4 Mn2 O6,12.0,102.55,0.87,0.063536,1,True
wbm-1-23832,Li4 O6 Ti2,12.0,109.14,3.05,0.000707,1,True
wbm-1-23833,Li2 O3 Ti1,6.0,53.91,2.69,0.018552,1,True
wbm-1-23842,Li2 O3 V1,6.0,53.37,1.33,0.054017,1,True
wbm-1-23843,Li4 O6 V2,12.0,105.77,1.31,0.049737,1,True
wbm-1-23852,Al1 Li2 Ni1 O4,8.0,67.92,0.11,0.035264,1,True
wbm-1-23871,Li2 Ni1 O4 Zr1,8.0,80.24,2.49,0.055584,1,True
wbm-1-23914,La1 Li2 O7 Ti2,12.0,139.02,0.0,0.059661,1,False
wbm-1-24239,Li3 O4 V1,8.0,88.47,4.06,0.01709,1,True
wbm-1-24246,Li3 O6 Sc2 V1,12.0,121.26,1.97,0.03587,1,True
wbm-1-24247,Li3 Nb1 O6 Ti2,12.0,114.08,0.0,0.073063,0,False
wbm-1-24251,Li3 O6 V2 Zn1,12.0,113.9,1.04,0.072019,1,True
wbm-1-24432,Li5 O5 Ti1,11.0,105.44,0.0,0.063457,1,False
wbm-1-25667,Co4 Li4 O8,16.0,131.23,2.21,0.044726,0,True
wbm-1-25669,Co4 Li4 O8,16.0,131.24,2.21,0.044728,0,True
wbm-1-25720,Li2 Mn2 O4,8.0,76.37,0.81,0.056761,0,True
wbm-1-25725,Li1 Ni1 O2,4.0,34.52,0.4,0.040449,0,True
wbm-1-25726,Li2 Ni2 O4,8.0,69.18,0.26,0.043063,1,True
wbm-1-25767,Li3 O6 Ti3,12.0,110.9,0.0,0.02293,1,False
wbm-1-25771,Li3 O6 V3,12.0,113.93,1.8,0.019681,0,True
wbm-1-25774,Li4 O8 V4,16.0,151.5,0.0,0.05566,0,False
wbm-1-25818,Li2 O6 Ti2,10.0,114.32,2.81,0.063617,0,True
wbm-1-25825,Li2 O6 V2,10.0,121.62,2.58,0.068886,1,True
wbm-1-25826,Li2 O6 V2,10.0,98.68,2.29,0.048301,1,True
wbm-1-25827,Li2 O6 V2,10.0,98.68,2.29,0.048298,0,True
wbm-1-25839,Li1 Mn3 O4,8.0,84.02,0.0,0.042795,1,False
wbm-1-25871,Cu1 Li1 Mn2 O6,10.0,126.38,0.46,0.060356,1,True
wbm-1-25965,Li1 Mn1 O8 P2,12.0,134.66,0.0,0.078888,1,False
wbm-1-37315,Co1 Na1 O2,4.0,38.65,2.02,0.042458,0,True
wbm-1-37341,Na2 Ni2 O4,8.0,83.07,0.67,0.059575,1,True
wbm-1-37376,Na2 O4 Ti2,8.0,85.33,0.0,0.029932,1,False
wbm-1-39179,Na4 O6 Ti2,12.0,152.38,3.62,0.020444,1,True
wbm-1-39221,Mn2 Na1 O3,6.0,68.24,0.0,0.06692,1,False
wbm-1-39261,Na4 O12 V4,20.0,254.54,2.52,0.053137,1,True
wbm-1-39262,Na8 O24 V8,40.0,492.38,2.4,0.071752,0,True
wbm-1-39263,Na2 O6 V2,10.0,119.23,2.63,0.04658,1,True
wbm-1-39264,Na8 O24 V8,40.0,495.64,2.45,0.071203,1,True
wbm-1-40948,Mn1 Na3 O4,8.0,121.75,1.77,0.025298,1,True
wbm-1-41803,Na2 O5 V2,9.0,119.84,1.23,0.054635,1,True
wbm-1-42585,Na3 O6 Ti2 V1,12.0,132.41,0.0,0.044229,1,False
wbm-1-43626,Na1 O8 P2 V1,12.0,159.44,0.97,0.044885,1,True
wbm-1-43627,Na1 O8 V3,12.0,171.76,1.34,0.062646,1,True
wbm-1-44434,Na2 O1 P2 Ti2,7.0,120.67,0.0,0.065833,1,False
wbm-2-23814,Li2 O3 Ti1,6.0,57.1,2.11,0.033579,1,True
wbm-2-23815,Li2 O3 V1,6.0,56.63,0.59,0.07975,1,True
wbm-2-23862,Eu1 Li2 O7 Ti2,12.0,137.25,0.0,0.058998,1,False
wbm-2-23864,Li2 O7 V2 Yb1,12.0,127.05,1.54,0.027998,1,True
wbm-2-24662,Li1 O7 P2 V1,11.0,121.1,1.96,0.012893,1,True
wbm-2-25011,Li1 Os1 Ti2,4.0,59.42,0.0,0.03461,1,False
wbm-2-34141,Na4 O6 Ti2,12.0,135.96,3.18,0.010559,1,True
wbm-2-34837,Co1 Na3 O4,8.0,116.63,0.78,0.020033,1,True
wbm-2-34844,Na3 O4 V1,8.0,124.55,3.84,0.038938,1,True
wbm-2-36429,Mn1 Na1 O7 P2,11.0,126.45,0.7,0.016989,1,True
wbm-2-36440,Na1 O7 P2 V1,11.0,126.97,1.87,0.032988,1,True
wbm-3-36427,Gd1 Li2 O7 Ti2,12.0,136.25,0.0,0.079843,1,False
wbm-3-36429,Li2 Nd1 O7 Ti2,12.0,137.75,0.0,0.066198,1,False
wbm-3-36430,Li2 O7 Pr1 Ti2,12.0,138.37,0.0,0.06097,1,False
wbm-3-36432,Li2 O7 Sm1 Ti2,12.0,136.78,0.0,0.068823,1,False
wbm-3-36434,Li2 O7 Th1 Ti2,12.0,137.46,2.18,0.054958,1,True
wbm-3-36439,Eu1 Li2 O7 V2,12.0,130.63,0.0,0.062869,1,False
wbm-3-36441,Li2 O7 V2 Yb1,12.0,134.61,2.01,0.007871,1,True
wbm-4-18471,Co1 Li1 O2,4.0,33.0,2.15,0.042806,0,True
