FICD_v03_ElMD_rank,Synthesizable,material_id,formula,crystal_system,Space Group Symbol,Space Group Number,Sites,energy_above_hull,formation_energy,predicted_stable,Volume,density,band_gap,Is Gap Direct,is_metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant,S,G,SII,family_support_count,cross_family_Q
1,True,mp-770533,Li6MnO4,Tetragonal,P4_2/nmc,137,44,0.005511122272729,-2.050808946630094,False,397.8190855435562,2.681139287594058,3.0413,False,False,AFM,0.0,,,,,,,,,,,,,,,,0.8897012257255178,1.0,1.0,4,1.0
2,False,mp-18988,Li2MnO3,Monoclinic,C2/m,12,24,0.0,-2.180112729932952,True,195.4673833959864,3.969588299469367,1.368399999999999,True,False,FM,12.0000012,,,,,,,,,,,,,17.193611733333334,11.63957881666667,5.554032916666666,1.0,0.4497401486744292,0.9781057449768011,4,0.9889922876225078
3,True,mp-770534,Li2Mn3O7,Triclinic,P-1,2,24,0.013383061006948,-2.011608467954981,False,234.19061450014377,4.122328432702853,1.416199999999999,False,False,FM,17.9999998,,,,,,,,,,,,,,,,0.7321534250090176,0.46546279850009853,0.9691964893632994,4,0.9844777749463415
4,True,mp-1639949,Li7Mn5O12,Triclinic,P1,1,24,0.025178547291655,-2.144812799707855,False,220.20641616220493,3.885563469368672,1.0463,False,False,FiM,4.0000953,,,,,,,,,,,,,,,,0.49608033230835347,0.3437931715018751,0.8178797349403432,2,0.639484063499765
5,True,mp-531604,LiMnO2,Monoclinic,Cm,8,80,0.016325155249999,-2.143544808816092,False,778.2470281238267,4.006127192969279,1.268199999999998,False,False,FM,80.0205784,,,,,,,,,,,,,,,,0.6732707922620862,0.4167817906716659,0.9438553905111333,4,0.9715222027885587
6,True,mp-754656,LiMnO2,Monoclinic,C2/m,12,4,0.0,-2.159869964066093,True,36.738538046608326,4.243169091621241,1.150399999999999,False,False,FM,3.999999899999999,,,,,,,,,,,,,,,,1.0,0.37803433984606266,0.9354828973094568,4,0.9672036483127309
7,True,mp-25542,LiMnO2,Monoclinic,Cm,8,8,0.02195722,-2.137912744066092,False,79.16496129822029,3.938303677645428,1.4906,False,False,AFM,0.0,,,,,,,,,,,,0.82370079828649,11.39506159790426,6.785762490301127,4.609299107603133,0.5605514933937602,0.4899348727057432,0.9232948471841307,4,0.9608823274387612
8,True,mp-1173952,Li3Mn2O5,Monoclinic,C2/m,12,20,0.022786131999987,-2.149229491586207,False,180.8109145449528,3.86999965688339,1.4069,False,False,AFM,0.0,,,,,,,,,,,,,,,,0.5439617729964477,0.46240378922439335,0.907905389676269,4,0.9528406948048919
9,True,mp-1175354,Li7Mn5O12,Monoclinic,C2/m,12,48,0.022280214999988,-2.147711131999521,False,444.19885984222384,3.852445756679207,1.248799999999999,False,False,FiM,28.0019253,,,,,,,,,,,,,,,,0.5540871199263535,0.41040063153739875,0.9008161924607893,4,0.9491133717637684
10,True,mp-691115,Li4Mn5O12,Monoclinic,C2/c,15,42,0.0,-2.053914901094687,True,397.4633364794207,4.131443210079115,1.0113,False,False,FM,30.0000017,,,,,,,,,,,,,,,,1.0,0.332280771001908,0.897319133393853,4,0.9472693035213656
11,True,mp-1004373,LiMnO2,Orthorhombic,Pnma,62,16,0.017628958124999,-2.142241005941093,False,144.76859734879667,4.307227726607941,1.0854,False,False,FM,16.0000011,,,,,,,,,,,,,,,,0.6471766771451601,0.3566541674889812,0.896891785189227,4,0.9470437081725568
12,True,mp-1284734,Li5Mn3O8,Triclinic,P1,1,32,0.024967119062488,-2.150084919403736,False,285.9716796662464,3.803525920984483,1.188699999999999,False,False,AFM,4.9000000000000005e-06,,,,,,,,,,,,,,,,0.5003118251640903,0.39063219525031234,0.8625352965628714,4,0.9287277838865764
