method,space_group_number,count,fraction
Arithmetic TopK,12,5,0.2
Arithmetic TopK,1,5,0.2
Arithmetic TopK,2,3,0.12
Arithmetic TopK,8,2,0.08
Arithmetic TopK,137,1,0.04
Arithmetic TopK,15,1,0.04
Arithmetic TopK,74,1,0.04
Arithmetic TopK,58,1,0.04
Arithmetic TopK,136,1,0.04
Arithmetic TopK,164,1,0.04
Arithmetic TopK,25,1,0.04
Arithmetic TopK,62,1,0.04
Arithmetic TopK,155,1,0.04
Arithmetic TopK,148,1,0.04
Geometric TopK,12,6,0.24
Geometric TopK,2,3,0.12
Geometric TopK,1,3,0.12
Geometric TopK,15,2,0.08
Geometric TopK,8,2,0.08
Geometric TopK,137,1,0.04
Geometric TopK,136,1,0.04
Geometric TopK,58,1,0.04
Geometric TopK,62,1,0.04
Geometric TopK,164,1,0.04
Geometric TopK,155,1,0.04
Geometric TopK,25,1,0.04
Geometric TopK,148,1,0.04
Geometric TopK,74,1,0.04
MMR,12,5,0.2
MMR,1,5,0.2
MMR,2,2,0.08
MMR,8,2,0.08
MMR,58,1,0.04
MMR,15,1,0.04
MMR,137,1,0.04
MMR,136,1,0.04
MMR,74,1,0.04
MMR,164,1,0.04
MMR,25,1,0.04
MMR,62,1,0.04
MMR,155,1,0.04
MMR,148,1,0.04
MMR,9,1,0.04
Cross-family Q seed,2,6,0.24
Cross-family Q seed,12,5,0.2
Cross-family Q seed,8,2,0.08
Cross-family Q seed,1,2,0.08
Cross-family Q seed,15,2,0.08
Cross-family Q seed,136,1,0.04
Cross-family Q seed,137,1,0.04
Cross-family Q seed,62,1,0.04
Cross-family Q seed,155,1,0.04
Cross-family Q seed,164,1,0.04
Cross-family Q seed,25,1,0.04
Cross-family Q seed,58,1,0.04
Cross-family Q seed,148,1,0.04
FICD v0.3 (TV),12,5,0.2
FICD v0.3 (TV),2,5,0.2
FICD v0.3 (TV),15,2,0.08
FICD v0.3 (TV),8,2,0.08
FICD v0.3 (TV),1,2,0.08
FICD v0.3 (TV),137,1,0.04
FICD v0.3 (TV),136,1,0.04
FICD v0.3 (TV),62,1,0.04
FICD v0.3 (TV),155,1,0.04
FICD v0.3 (TV),9,1,0.04
FICD v0.3 (TV),164,1,0.04
FICD v0.3 (TV),25,1,0.04
FICD v0.3 (TV),58,1,0.04
FICD v0.3 (TV),148,1,0.04
FICD v0.3 (ElMD),2,8,0.32
FICD v0.3 (ElMD),12,5,0.2
FICD v0.3 (ElMD),1,3,0.12
FICD v0.3 (ElMD),8,2,0.08
FICD v0.3 (ElMD),15,2,0.08
FICD v0.3 (ElMD),137,1,0.04
FICD v0.3 (ElMD),62,1,0.04
FICD v0.3 (ElMD),155,1,0.04
FICD v0.3 (ElMD),164,1,0.04
FICD v0.3 (ElMD),25,1,0.04
