FICD_v03_ElMD_rank,material_id,formula,n_sites,volume,band_gap,energy_above_hull,novelty_proxy,is_nonmetal_proxy,S,G,SII,family_support_count,cross_family_Q
1,wbm-1-24239,Li3 O4 V1,8.0,88.47,4.06,0.01709,1,True,0.7927330693420037,1.0,0.9705633852450182,4,0.9851717541855421
2,wbm-1-23832,Li4 O6 Ti2,12.0,109.14,3.05,0.000707,1,True,1.0,0.7443037974683545,0.9553444773843092,4,0.977417248356253
3,wbm-2-34141,Na4 O6 Ti2,12.0,135.96,3.18,0.010559,1,True,0.875358981820022,0.7772151898734179,0.9381029568365179,4,0.9685571520754559
4,wbm-1-39179,Na4 O6 Ti2,12.0,152.38,3.62,0.020444,1,True,0.7503004693647761,0.8886075949367089,0.9061584322633265,4,0.9519235432866058
5,wbm-1-23833,Li2 O3 Ti1,6.0,53.91,2.69,0.018552,1,True,0.7742368078134686,0.6531645569620254,0.8672303641639056,4,0.9312520411595916
6,wbm-1-6849,C2 Na2 Ni1 O6,11.0,116.82,3.5,0.026794,1,True,0.6699644497298939,0.858227848101266,0.8600602492938112,4,0.9273943332228266
7,wbm-3-36441,Li2 O7 V2 Yb1,12.0,134.61,2.01,0.007871,1,True,0.9093657882418431,0.48101265822784806,0.77057094402603,4,0.8778217040071578
8,wbm-2-34844,Na3 O4 V1,8.0,124.55,3.84,0.038938,1,True,0.5163265564313095,0.9443037974683545,0.7468209640499851,4,0.8641880374374463
9,wbm-2-24662,Li1 O7 P2 V1,11.0,121.1,1.96,0.012893,1,True,0.8458307503510747,0.46835443037974683,0.7240080090619483,4,0.8508866017642706
10,wbm-2-23814,Li2 O3 Ti1,6.0,57.1,2.11,0.033579,1,True,0.5841250964664804,0.5063291139240506,0.7067436857758971,4,0.8406804897081275
11,wbm-1-25771,Li3 O6 V3,12.0,113.93,1.8,0.019681,0,True,0.7599534430626368,0.4278481012658228,0.6749019348074828,4,0.8215241535143583
12,wbm-1-24246,Li3 O6 Sc2 V1,12.0,121.26,1.97,0.03587,1,True,0.5551408726895488,0.4708860759493671,0.6478848940667072,4,0.8049129729770215
13,wbm-2-36429,Mn1 Na1 O7 P2,11.0,126.45,0.7,0.016989,1,True,0.794010854851157,0.14936708860759493,0.26338707415852586,3,0.4444550659165608
14,wbm-1-40948,Mn1 Na3 O4,8.0,121.75,1.77,0.025298,1,True,0.6888908568753715,0.42025316455696204,0.6341932595231277,4,0.7963625176533158
15,wbm-4-18471,Co1 Li1 O2,4.0,33.0,2.15,0.042806,0,True,0.46739116683324267,0.5164556962025317,0.6093558506834709,4,0.7806124843246302
16,wbm-1-25667,Co4 Li4 O8,16.0,131.23,2.21,0.044726,0,True,0.4431005908176562,0.5316455696202532,0.5646333470151994,4,0.7514208853999198
17,wbm-1-39263,Na2 O6 V2,10.0,119.23,2.63,0.04658,1,True,0.41964500335260546,0.6379746835443039,0.5613993546939364,4,0.7492658771717396
18,wbm-1-25669,Co4 Li4 O8,16.0,131.24,2.21,0.044728,0,True,0.44307528813430663,0.5316455696202532,0.5411904827485848,4,0.7356564977953942
19,wbm-1-37315,Co1 Na1 O2,4.0,38.65,2.02,0.042458,0,True,0.47179383373606765,0.4835443037974684,0.5307894473113346,4,0.7285529818148675
20,wbm-2-23864,Li2 O7 V2 Yb1,12.0,127.05,1.54,0.027998,1,True,0.6547322343534532,0.3620253164556962,0.5069151950556849,4,0.711979771521414
21,wbm-1-25827,Li2 O6 V2,10.0,98.68,2.29,0.048298,0,True,0.3979099983553256,0.5518987341772152,0.48665208541471844,4,0.6976045336827438
22,wbm-1-25826,Li2 O6 V2,10.0,98.68,2.29,0.048301,1,True,0.3978720443303013,0.5518987341772152,0.46292033886101064,4,0.6803824945286369
23,wbm-1-39261,Na4 O12 V4,20.0,254.54,2.52,0.053137,1,True,0.3366901559910429,0.610126582278481,0.4225219966946084,4,0.6500169203140856
24,wbm-1-23871,Li2 Ni1 O4 Zr1,8.0,80.24,2.49,0.055584,1,True,0.3057323229128449,0.6025316455696204,0.3564506253775261,4,0.5970348611073947
25,wbm-2-34837,Co1 Na3 O4,8.0,116.63,0.78,0.020033,1,True,0.7555001707931126,0.16962025316455698,0.29554263988292523,4,0.5436383355530818
